Contact ID	Yardi ID	Yardi HOH ID	Birth Year	Age at MI	First Move In	Move Out	Interaction: Record Type	Type	Quantity	Date	MO Reason
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		1/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		11/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		10/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		7/1/16	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		1/1/16	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent	54	1/1/17	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent	53	12/1/16	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Payment Plan		7/15/16	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Payment Plan		6/24/16	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Payment Plan	0	1/4/17	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Payment Plan	0	12/19/16	
003U000001mXfuj	10094	10094	1983	29	6/1/12	5/31/15	Prop Mgmt	Late Rent		6/1/14	Relocation
003U000001mXfuj	10094	10094	1983	29	6/1/12	5/31/15	Prop Mgmt	Late Rent		5/1/14	Relocation
003U000001mXfuj	10094	10094	1983	29	6/1/12	5/31/15	Prop Mgmt	Late Rent		12/1/14	Relocation
003U000001mXfuj	10094	10094	1983	29	6/1/12	5/31/15	Prop Mgmt	Late Rent		11/1/14	Relocation
003U000001mXfuj	10094	10094	1983	29	6/1/12	5/31/15	Prop Mgmt	Late Rent		10/1/14	Relocation
003U000001mXfuj	10094	10094	1983	29	6/1/12	5/31/15	Prop Mgmt	Late Rent		2/1/15	Relocation
003U0000013FQuM	10104	10104	1974	37	4/15/12		Prop Mgmt	Late Rent	52	3/1/17	
003U0000013FQuM	10104	10104	1974	37	4/15/12		Prop Mgmt	Late Rent		6/1/14	
003U0000013FQuM	10104	10104	1974	37	4/15/12		Prop Mgmt	Complaint		7/6/16	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Payment Plan	0	10/25/16	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Late Rent		4/1/15	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Late Rent		2/1/15	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Late Rent		10/1/15	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Late Rent		6/1/16	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Late Rent	27	2/1/17	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Complaint	0	12/14/16	
003U000001mXdAb	10125	10125	1978	35	7/27/12		Prop Mgmt	Late Rent	24	11/1/16	
003U000001mXhqp	10127	10127	1981	31	7/26/12	3/31/16	Prop Mgmt	Late Rent		2/1/14	Relocation
003U000001mXhqp	10127	10127	1981	31	7/26/12	3/31/16	Prop Mgmt	Late Rent		1/1/16	Relocation
003U000001UMeUj	10145	10145	1979	33	6/1/12		Prop Mgmt	Late Rent		7/1/14	
003U000001UMeUj	10145	10145	1979	33	6/1/12		Prop Mgmt	Late Rent		2/1/15	
003U000001UMeUj	10145	10145	1979	33	6/1/12		Prop Mgmt	Late Rent	35	11/1/16	
003U000001UMeUj	10145	10145	1979	33	6/1/12		Prop Mgmt	Late Rent	35	2/1/17	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent	44	3/1/17	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent	44	10/1/16	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent	43	1/1/17	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent		7/1/14	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent		4/1/14	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent		2/1/14	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent		5/1/15	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent	22	8/1/16	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent		1/1/16	
003U000001mXcQs	1015	1015	1964	45	9/15/09		Prop Mgmt	Late Rent	46	4/1/17	
003U000001mXdLA	10157	10157	1970	42	8/1/12		Prop Mgmt	Complaint	0	11/21/16	
003U0000013FRlQ	;1018	1018	1971	38	9/1/09		Prop Mgmt	Late Rent	16	10/1/16	
003U0000013FRlQ	;1018	1018	1971	38	9/1/09		Prop Mgmt	Late Rent	16	2/1/17	
003U000001mXfQQ	10196	10196	1986	26	6/8/12	1/31/15	Prop Mgmt	Payment Plan	0	10/17/16	Relocation
003U000001mXfQQ	10196	10196	1986	26	6/8/12	1/31/15	Prop Mgmt	Late Rent		12/1/14	Relocation
003U000001mXfQQ	10196	10196	1986	26	6/8/12	1/31/15	Prop Mgmt	Late Rent		11/1/14	Relocation
003U000001mXfQQ	10196	10196	1986	26	6/8/12	1/31/15	Prop Mgmt	Late Rent		1/1/15	Relocation
003U000001mXfQQ	10196	10196	1986	26	6/8/12	1/31/15	Prop Mgmt	Payment Plan	0	12/9/16	Relocation
003U000001mXd3L	10205	10205	1963	49	6/1/12		Prop Mgmt	Late Rent		1/1/14	
003U000001mXd3L	10205	10205	1963	49	6/1/12		Prop Mgmt	Late Rent		7/1/15	
003U000001mXd3L	10205	10205	1963	49	6/1/12		Prop Mgmt	Late Rent	4	4/1/17	
003U000001mXd3L	10205	10205	1963	49	6/1/12		Prop Mgmt	Late Rent	41	6/1/17	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent	4	2/1/17	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent	39	10/1/16	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent	4	3/1/17	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent	39	8/1/16	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent		7/1/16	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent	4	1/1/17	
003U000001mXdJO	10222	10222	1984	28	8/1/12		Prop Mgmt	Late Rent	0	5/1/17	
003U000001mXflg	10223	10223	1972	40	6/11/12	4/30/15	Prop Mgmt	Late Rent		4/1/14	Relocation
003U000001mXflg	10223	10223	1972	40	6/11/12	4/30/15	Prop Mgmt	Late Rent		1/1/14	Relocation
003U000001mXflg	10223	10223	1972	40	6/11/12	4/30/15	Prop Mgmt	Late Rent		10/1/14	Relocation
003U000001mXflg	10223	10223	1972	40	6/11/12	4/30/15	Prop Mgmt	Late Rent		4/1/15	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent	48	8/1/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent		6/1/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent		1/1/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent		8/1/14	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent		7/1/14	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent		5/1/15	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Payment Plan	0	11/14/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent	31	12/1/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Payment Plan		7/9/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Late Rent	43	10/1/16	Relocation
003U000001mXd5b	10268	10268	1983	29	7/13/12	12/31/16	Prop Mgmt	Payment Plan		7/20/16	Relocation
003U000001mXd3k	10270	10270	1971	41	6/1/12		Prop Mgmt	Payment Plan	0	8/25/16	
003U000001mXd6K	10289	10289	1980	32	7/25/12		Prop Mgmt	Payment Plan	0	11/30/16	
003U000001mXd6K	10289	10289	1980	32	7/25/12		Prop Mgmt	Late Rent		3/1/16	
003U000001mXd6K	10289	10289	1980	32	7/25/12		Prop Mgmt	Late Rent		2/1/16	
003U000001mXd6K	10289	10289	1980	32	7/25/12		Prop Mgmt	Payment Plan		6/28/16	
003U000001mXcPQ	1031	1031	1958	51	9/1/09		Prop Mgmt	Late Rent	1	6/1/17	
003U000001mXf0E	10342	10342	1970	43	10/5/13	9/30/14	Prop Mgmt	Late Rent		8/1/14	Relocation
003U000001mXf0E	10342	10342	1970	43	10/5/13	9/30/14	Prop Mgmt	Late Rent		5/1/14	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		8/1/14	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		7/1/14	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		4/1/14	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		2/1/14	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		10/1/14	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		5/1/15	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		4/1/15	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		2/1/15	Relocation
003U000001V5z8w	10343	10343	1991	21	5/23/12	11/9/15	Prop Mgmt	Late Rent		11/1/15	Relocation
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent	67	3/1/17	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent	63	6/1/17	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent	64	1/1/17	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent		10/1/14	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent		4/1/15	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent		1/1/15	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent		5/1/16	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent		2/1/16	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent		1/1/16	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent	67	4/1/17	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent	67	2/1/17	
003U000001mXd7w	10368	10368	1983	30	7/26/12	7/31/17	Prop Mgmt	Late Rent	0	11/1/16	
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Payment Plan	0	6/29/17	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Late Rent		9/1/15	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Late Rent		8/1/15	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Late Rent		7/1/15	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Late Rent		12/1/15	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Late Rent		10/1/15	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Late Rent		1/1/16	Desired Amenities
003U000001mXiOC	10384	10384	1958	54	6/21/12	6/30/16	Prop Mgmt	Payment Plan	0	5/19/17	Desired Amenities
003U000001V5zEV	10389	10389	1987	25	6/1/12	5/31/16	Prop Mgmt	Late Rent		5/1/14	Desired Amenities
003U000001V5zEV	10389	10389	1987	25	6/1/12	5/31/16	Prop Mgmt	Resident Relations		5/23/16	Desired Amenities
003U0000013FRkl	10400	10400	1983	29	8/1/12		Prop Mgmt	Late Rent		1/1/16	
003U000001V5zLs	10406	10406	1963	49	6/1/12	11/30/15	Prop Mgmt	Late Rent		2/1/15	Non-Payment of Rent
003U000001mXdJY	10407	10407	1956	56	8/1/12	8/31/16	Prop Mgmt	Late Rent		1/1/15	Desired Amenities
003U000001V5zme	10409	10409	1990	22	8/1/12	1/3/14	Prop Mgmt	Late Rent		1/1/14	Non-Payment of Rent
003U000001mXd4i	10441	10441	1955	57	7/1/12		Prop Mgmt	Late Rent		3/1/15	
003U000001mXd4i	10441	10441	1955	57	7/1/12		Prop Mgmt	Payment Plan	0	8/26/16	
003U000001mXd4i	10441	10441	1955	57	7/1/12		Prop Mgmt	Payment Plan	0	9/7/16	
003U000001mXd4i	10441	10441	1955	57	7/1/12		Prop Mgmt	Payment Plan		7/22/16	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		4/1/14	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		3/1/14	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		2/1/14	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		12/1/14	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		1/1/14	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		12/1/15	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		1/1/15	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		3/1/16	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		2/1/16	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent		1/1/16	
003U0000013FSY1	;10453	10453	1972	40	6/13/12		Prop Mgmt	Late Rent	46	2/1/17	
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		4/1/14	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		12/1/14	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		11/1/14	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		4/1/15	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		2/1/15	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		12/1/15	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		1/1/15	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		11/1/15	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		10/1/15	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		2/1/16	Non-Payment of Rent
003U000001mXhaD	10461	10461	1981	31	6/1/12	2/15/16	Prop Mgmt	Late Rent		1/1/16	Non-Payment of Rent
003U000001mXecq	10469	10469	1992	20	6/25/12	7/31/14	Prop Mgmt	Late Rent		7/1/14	Relocation
003U000001mXecq	10469	10469	1992	20	6/25/12	7/31/14	Prop Mgmt	Late Rent		5/1/14	Relocation
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		7/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		6/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		5/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		4/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		3/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		12/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		1/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		10/1/14	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		5/1/15	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		4/1/15	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		3/1/15	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		2/1/15	Funding Non-Compliance
003U000001mXd3z	10482	10482	1993	19	6/15/12	3/31/17	Prop Mgmt	Late Rent		1/1/15	Funding Non-Compliance
003U0000013FSOe	10484	10484	1937	75	6/15/12		Prop Mgmt	Resident Relations	0	3/9/17	
003U0000013FSOe	10484	10484	1937	75	6/15/12		Prop Mgmt	Late Rent	26	3/1/17	
003U0000013FSOe	10484	10484	1937	75	6/15/12		Prop Mgmt	Late Rent		11/1/15	
003U0000013FSOe	10484	10484	1937	75	6/15/12		Prop Mgmt	Late Rent	32	2/1/17	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent	35	3/1/17	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent	35	2/1/17	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		7/1/14	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		12/1/14	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		1/1/14	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		11/1/14	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		10/1/14	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		6/1/15	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		3/1/15	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		12/1/15	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		11/1/15	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		7/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		6/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		5/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		4/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		3/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent		2/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Payment Plan	0	2/20/17	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent	35	8/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent	27	12/1/16	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Payment Plan	0	1/27/17	
003U000001mXd5W	10486	10486	1985	27	7/6/12	5/31/17	Prop Mgmt	Late Rent	26	11/1/16	
003U000001mXdD6	10490	10490	1979	33	7/28/12		Prop Mgmt	Late Rent		1/1/14	
003U000001mXfQ6	fam25584;10497	10497	1991	21	8/28/12	1/31/15	Prop Mgmt	Late Rent		9/1/14	Desired Amenities
003U000001mXfQ6	fam25584;10497	10497	1991	21	8/28/12	1/31/15	Prop Mgmt	Late Rent		8/1/14	Desired Amenities
003U000001mXfQ6	fam25584;10497	10497	1991	21	8/28/12	1/31/15	Prop Mgmt	Late Rent		10/1/14	Desired Amenities
003U000001mXdIz	10503	10503	1987	25	8/1/12	4/30/17	Prop Mgmt	Late Rent		5/1/15	Purchase of Home
003U000001mXhHh	10512	10512	1986	26	8/1/12	12/31/15	Prop Mgmt	Late Rent		8/1/15	Relocation
003U000001mXdJs	10525	10525	1972	41	8/1/12		Prop Mgmt	Late Rent		2/1/15	
003U000001mXdJs	10525	10525	1972	41	8/1/12		Prop Mgmt	Resident Relations	0	9/1/16	
003U000001mXdJs	10525	10525	1972	41	8/1/12		Prop Mgmt	Late Rent	8	3/1/17	
003U000001mXdJs	10525	10525	1972	41	8/1/12		Prop Mgmt	Payment Plan	0	10/24/16	
003U000001mXdJs	10525	10525	1972	41	8/1/12		Prop Mgmt	Late Rent	9	2/1/17	
003U000001mXdMm	10526	10526	1991	21	8/16/12		Prop Mgmt	Late Rent	57	3/1/17	
