Contact ID	Yardi ID	Yardi HOH ID	HOH	birth year	Age at MI	First Move In	Move Out	Interaction: Record Type	Type	Sub-Type	Resource	Reason	Quantity	Cause Date	Date	HH MO Reason
003U0000013FQFp	4	4	1	1926	72	10/6/97		Connection to Community Resource			Health Care				10/3/14	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Connection to Community Resource			Employment				9/11/14	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Connection to Community Resource	Information & Referrals		Elderly Services; Housing; Safety	Reactive			2/7/17	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Housing Stability		Food	Reactive			5/10/16	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Home Management	Reading mail	Elderly Services; Immigration	Proactive			5/2/17	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Home Management	Housekeeping Support	Elderly Services	Reactive			7/19/16	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Housing Stability						9/4/14	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Housing Stability						8/7/14	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Housing Stability						7/24/14	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Housing Stability	Eviction Prevention	Non-payment of rent	Housing	Proactive			3/9/16	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Material Goods	Material Goods		Household Goods		9		7/3/14	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Connection to Community Resource			Health Care				10/3/14	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Connection to Community Resource			Employment				9/11/14	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Housing Stability	Housing Stability						7/7/14	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Housing Stability	Housing Stability						8/7/14	
003U000001V5zaO	5	5	1	1939	43	7/1/82		Housing Stability	Housing Stability						9/4/14	
003U000001V5z04	8	8	1	1976	32	8/3/07		Connection to Community Resource			Health Care				10/3/14	
003U000001V5z04	8	8	1	1976	32	8/3/07		Connection to Community Resource			Employment				9/11/14	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Eviction Prevention	Non-payment of rent	Employment	Reactive			3/2/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Eviction Prevention	Lease Violation	Housing	Reactive			4/27/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Eviction Prevention	Non-payment of rent	Employment	Reactive			4/5/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Eviction Prevention	Non-payment of rent	Income	Reactive			3/15/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Housing Stability		Rental Assistance	Reactive			5/17/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Housing Stability		Transportation	Reactive	2		5/18/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Lease Education		Education; Food; Legal; Transportation	Proactive			5/16/17	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Home Management	Inspection	Housing	Reactive			7/13/16	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Eviction Prevention						2/11/15	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Housing Stability						8/7/14	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Housing Stability						9/4/14	
003U000001V5z04	8	8	1	1976	32	8/3/07		Housing Stability	Eviction Prevention	Non-payment of rent		Reactive		3/1/17	3/15/17	
003U000001V5zCF	11	11	1	1969	36	8/1/04	4/30/15	Connection to Community Resource			Health Care				10/3/14	Desired Amenities
003U000001V5zCF	11	11	1	1969	36	8/1/04	4/30/15	Connection to Community Resource			Employment				9/11/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Connection to Community Resource			Health Care				10/3/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Connection to Community Resource			Employment				9/11/14	Desired Amenities
003U000001V5zCF	11	11	1	1969	36	8/1/04	4/30/15	Housing Stability	Housing Stability		Community Involvement				6/19/14	Desired Amenities
003U000001V5zCF	11	11	1	1969	36	8/1/04	4/30/15	Housing Stability	Housing Stability						9/4/14	Desired Amenities
003U000001V5zCF	11	11	1	1969	36	8/1/04	4/30/15	Housing Stability	Housing Stability						8/7/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Housing Stability	Housing Stability		Education				4/1/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Housing Stability	Housing Stability		Education				11/12/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Housing Stability	Housing Stability		Education				11/6/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Housing Stability	Housing Stability		Community Involvement				6/19/14	Desired Amenities
003U000001V60CD	fam25453	11	0	1990	15	8/1/04	4/30/15	Housing Stability	Housing Stability						9/4/14	Desired Amenities
003U000001V5zWq	12	12	1	1964	34	4/1/99		Material Goods	Material Goods		Gift Card	Proactive			5/18/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Material Goods	Material Goods		Gift Card		10		3/11/15	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Material Goods	Material Goods		Bus Cards		1		3/24/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Health Care				10/3/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Employment				9/11/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Energy Assistance				3/4/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Energy Assistance				3/24/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Mental Health				1/14/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Mental Health				1/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Health Care				1/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Health Care				1/14/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Rental Assistance				2/6/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Connection to Community Resource			Safety				3/23/15	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Home Management	Education	Renter?s Insurance	Reactive			4/25/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent	Rental Assistance	Proactive			6/13/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent		Reactive		9/1/16	9/22/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent	Substance Abuse	Reactive			5/10/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities	Reactive	2		5/26/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Direct Support		Disabilities; Gift Card	Proactive			5/8/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Lease Violation	Disabilities; Education; Substance Abuse	Reactive		1/4/17	1/6/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent	Rental Assistance	Reactive			7/13/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent	Rental Assistance	Reactive			7/12/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent		Reactive		8/8/16	8/16/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						2/25/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						2/25/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						2/6/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						2/25/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						2/25/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						3/24/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						5/2/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						5/27/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention						6/3/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						8/7/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						9/4/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities				3/10/15	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities				3/11/15	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						5/1/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent					2/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						2/25/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						9/17/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						12/1/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						5/20/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						1/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						1/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						4/22/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						5/6/15	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						6/18/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						1/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						1/21/14	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability						5/27/15	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Advocacy		Disabilities	Reactive			1/31/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Lease Education		Rental Assistance; Transportation	Reactive			3/14/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Lease Education		Rental Assistance; Transportation	Reactive			3/14/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Eviction Prevention	Non-payment of rent	Literacy; Mental Health	Reactive			2/15/17	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities	Reactive			2/24/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities				1/22/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities				1/19/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities	Reactive			3/15/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Volunteer Opportunities	Reactive			3/8/16	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Housing Stability	Housing Stability		Housing	Reactive			3/2/16	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Connection to Community Resource			Health Care				10/3/14	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Connection to Community Resource			Employment				9/11/14	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Connection to Community Resource			Mental Health				10/6/14	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Housing Stability	Housing Stability						8/7/14	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Housing Stability	Housing Stability						9/4/14	
003U000001V5ygE	13	13	1	1979	29	4/8/08		Housing Stability	Housing Stability		Volunteer Opportunities				8/4/14	
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Connection to Community Resource			Health Care				10/3/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Connection to Community Resource			Employment				9/15/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Connection to Community Resource			Employment				9/11/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Connection to Community Resource			Mental Health				10/6/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Housing Stability	Housing Stability		Community Involvement				3/6/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Housing Stability	Eviction Prevention						3/25/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Housing Stability	Eviction Prevention						3/26/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Housing Stability	Housing Stability		Community Involvement				6/19/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Housing Stability	Housing Stability						9/4/14	Relocation
003U000001V5yhS	14	14	1	1988	20	11/30/07	8/31/15	Housing Stability	Housing Stability						2/18/14	Relocation
003U0000013FRTb	16	16	1	1970	33	12/20/02		Material Goods	Material Goods		Gift Card		20		4/1/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Connection to Community Resource			Education				6/26/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Connection to Community Resource			Health Care				10/3/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Connection to Community Resource			Employment				9/11/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Connection to Community Resource			Clothing; Furniture; Household Goods				6/25/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability		Community Involvement				5/8/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability						8/7/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability						9/4/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability		Volunteer Opportunities				3/24/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability		Volunteer Opportunities				3/24/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability		Volunteer Opportunities				10/23/14	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Eviction Prevention	Non-payment of rent	Income				12/24/15	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Housing Stability	Housing Stability		Housing				12/14/15	
003U000001V5yj3	19	19	1	1969	42	10/4/10		Material Goods	Material Goods		Household Goods	Proactive	1		5/22/17	
003U000001V5yj3	19	19	1	1969	42	10/4/10		Connection to Community Resource	Coordination of Services		Immigration; Interpretation	Proactive			9/20/16	
003U000001V5yj3	19	19	1	1969	42	10/4/10		Connection to Community Resource			Health Care				10/3/14	
003U000001V5yj3	19	19	1	1969	42	10/4/10		Connection to Community Resource			Employment				9/11/14	
003U000001V60aK	fam22185;fam33666;rm21690	19	0	1972	38	10/4/10		Connection to Community Resource			Health Care				10/3/14	
003U000001V60aK	fam22185;fam33666;rm21690	19	0	1972	38	10/4/10		Connection to Community Resource			Employment				9/11/14	
003U000001V5yj3	19	19	1	1969	42	10/4/10		Housing Stability	Housing Stability		Financial Literacy	Reactive			4/12/16	
