Contact ID	Yardi ID	Yardi HOH ID	Yardi HoH	Birth year	Age at MI	First Move In	Move Out	Volunteer Job: Volunteer Job Name	Hours Worked	Start Date	Volunteer Job: Leadership Tier	MO Reason
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	1/14/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	1/7/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	0.75	6/30/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	2	6/24/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	0.5	6/16/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	0.25	6/9/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking 2014	0.25	6/2/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking 2014	0.5	3/7/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.75	9/16/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	1	5/23/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	5/15/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.5	4/17/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.5	4/3/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.5	11/27/12		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	8/26/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf	1.5	8/12/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.5	9/11/12		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	9/10/12		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	1.5	5/30/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	0.25	5/30/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	0.25	5/30/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf	0.75	7/8/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.75	7/2/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	7/1/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking 2014	0.25	2/14/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	1.5	2/10/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	0.25	2/9/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking 2014	0.5	1/13/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	10/14/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Large role)	1.25	10/17/16	Tier 2	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	6/26/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.5	6/21/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	6/14/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.5	12/7/12		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	9/5/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.75	12/20/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Event Assistance (Large role)	0.5	3/30/15	Tier 2	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	3/26/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	3/26/17	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.75	9/26/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.75	11/23/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	11/22/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Cleaning/property improvements (small task)	0.25	2/28/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	2/27/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	2/3/17	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	3/7/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	9/16/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	7/25/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	0.25	12/2/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	0.25	11/10/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	0.25	11/24/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	12/16/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Resident Committee Meetings	1	12/14/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Large role)	1	11/21/16	Tier 2	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	2/28/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.75	2/29/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	12/9/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	8/28/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	5/11/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	1/16/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	1/23/15	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Help Shelf 2014	0.25	9/29/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	3/27/17	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Large role)	1	7/1/16	Tier 2	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	4/12/17	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.75	4/17/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.75	4/17/16	Tier 1	
003U000001V60bc	fam34369;fam30438;fam40901	76	0	1997	7	9/1/04	3/31/17	Resident Committee Meetings	1	10/20/16	Tier 1	
003U000001V60bc	fam34369;fam30438;fam40901	76	0	1997	7	9/1/04	3/31/17	RC Support (Small role)	0.5	11/10/15	Tier 1	
003U000001V60bc	fam34369;fam30438;fam40901	76	0	1997	7	9/1/04	3/31/17	Event Assistance (Small duty)	2	9/13/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance 2014	1	6/24/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor 2014	1	6/5/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor 2014	1	6/19/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Small role)	0.5	2/4/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	1/20/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	2/17/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	2/26/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance 2014	2	5/23/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	1	8/30/12		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	1.5	3/27/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	1	12/5/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance 2014	4	7/1/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	1.5	9/19/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	0.25	5/1/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Cleaning	0.25	4/17/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	4/17/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Special Project	6	12/18/12		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	7/29/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	1.25	7/18/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	7/8/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	7/3/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	7/1/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor 2014	1	1/16/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	0.25	6/26/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	1.75	6/24/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	1.5	6/19/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	0.25	6/12/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Large role)	1.25	7/1/16	Tier 2	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Planning Committee	36	10/30/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Flyering/Door Knocking	0.25	5/15/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	5/8/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Program Assistance	0.25	5/31/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor	1.25	5/16/13		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	4/16/15	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	7/30/15	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	3/19/15	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	4/17/14	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	10/20/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	9/25/14	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Large role)	2	11/10/15	Tier 2	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Cleaning/property improvements (small task)	0.25	2/28/15	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	1/18/17	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Event Assistance (Small duty)	0.25	1/12/17	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	7/21/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Small role)	0.25	8/8/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Planning Committee 2014	1	12/11/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Floor Monitor 2014	1	11/20/14		
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	12/14/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	2/15/17	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Large role)	1	3/3/17	Tier 2	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Large role)	1	3/3/17	Tier 2	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Event Assistance (Small duty)	0.5	4/8/17	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	Resident Committee Meetings	1	4/13/16	Tier 1	
003U0000013FQQF	76	76	1	1959	46	9/1/04	3/31/17	RC Support (Large role)	1	12/2/16	Tier 2	
003U0000013FSga	78	78	1	1961	46	4/11/07	1/31/17	Help Shelf	0.25	6/10/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2.5	3/21/16	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Flyering/Door Knocking 2014	0.25	6/9/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.5	6/30/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	6	6/6/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor 2014	1	6/5/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.25	6/30/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.25	6/11/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.25	6/27/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	2	6/11/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	2	6/24/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Cleaning 2014	1.5	6/25/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	3.5	6/18/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	5	6/2/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	3.5	6/9/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	5	6/4/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Flyering/Door Knocking 2014	1	6/16/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	2	8/12/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	1.5	8/27/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.5	8/22/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Small role)	0.25	2/2/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Small role)	0.5	2/11/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2	1/25/16	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	1/20/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2.25	5/23/16	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	2/17/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.25	5/30/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	1.5	3/27/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor	1	12/5/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	1	11/21/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.5	11/4/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.25	3/20/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	1.5	3/10/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	1	9/20/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	1.5	9/19/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.25	9/13/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.25	4/17/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	1.5	11/17/12		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	2	5/12/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	1.5	5/19/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	3	5/24/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor	1.25	7/18/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.25	7/8/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.25	7/3/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.25	7/3/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	4	7/2/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	0.25	7/2/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	2	7/2/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance 2014	0.25	1/29/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	2	2/10/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	10/20/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor	1.5	6/19/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor	1.5	6/19/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor	1.75	6/24/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Planning Committee	36	10/30/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	2	5/22/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	3	5/22/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Cleaning	2	5/20/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Flyering/Door Knocking	0.5	5/17/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	1.25	5/16/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Program Assistance	4	5/23/13		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	1.75	4/27/15	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	5/14/15	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	2	4/14/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	4/17/14	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	9/25/14	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	1.75	8/11/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	1.75	9/29/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	1	10/30/14	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	10/16/14	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	1	10/18/14	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2.25	10/17/16	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Small role)	1	9/26/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2	3/24/17	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2	3/27/17	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Small role)	0.25	11/4/15	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2.5	11/23/15	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Large role)	3	11/5/15	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Large role)	4.5	11/3/15	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Host - No Staff	3	9/23/16	Tier 3	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2.25	2/16/15	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Small role)	0.25	2/17/15	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Committee Meetings	1	7/21/16	Tier 1	
003U0000013FRsT	82	82	1	1962	43	5/1/06		RC Support (Large role)	2.5	8/8/16	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Host - No Staff	2	8/6/16	Tier 3	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Resident Planning Committee 2014	1	12/11/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Event Assistance (Large role)	2.25	1/30/17	Tier 2	
003U0000013FRsT	82	82	1	1962	43	5/1/06		Flyering/Door Knocking 2014	0.25	11/21/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Help Shelf 2014	1.75	11/24/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Meal Serving 2014	1	11/24/14		
003U0000013FRsT	82	82	1	1962	43	5/1/06		Floor Monitor 2014	1	11/20/14		
