Contact ID,Yardi ID,Yardi HOH ID,Yardi HoH,Birth year,Age at MI,First Move In,event_after_MI,3years_after_MI,event_before_3years,event_in_3years,MI_year_again,Move Out,Volunteer Job: Volunteer Job Name,Volunteer_Job_Name_Broad,Hours Worked,Start Date,Volunteer Job: Leadership Tier,MO Reason
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,RC Program Assistance,Assistance/Support,2,2011-11-30T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,Movie Night Host,Leader/Host,2,2011-02-01T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FRzI,5891,5891,1,1967,43,2010-11-05T00:00:00Z,true,2013-11-05T00:00:00Z,true,true,2010,10/31/16,RC Program Assistance,Assistance/Support,1,2013-08-06T00:00:00Z,,
003U0000013FRzI,5891,5891,1,1967,43,2010-11-05T00:00:00Z,true,2013-11-05T00:00:00Z,true,true,2010,10/31/16,Help Shelf,Assistance/Support,0.25,2013-07-08T00:00:00Z,,
003U0000013FRq7,5892,5892,1,1972,38,2010-11-01T00:00:00Z,true,2013-11-01T00:00:00Z,true,true,2010,,Bulk Mail,Assistance/Support,3,2012-10-24T00:00:00Z,,
003U0000013FRq7,5892,5892,1,1972,38,2010-11-01T00:00:00Z,true,2013-11-01T00:00:00Z,true,true,2010,,Bulk Mail,Assistance/Support,2.5,2012-10-25T00:00:00Z,,
003U0000013FRq7,5892,5892,1,1972,38,2010-11-01T00:00:00Z,true,2013-11-01T00:00:00Z,true,true,2010,,RC Program Assistance,Assistance/Support,1,2012-11-13T00:00:00Z,,
003U0000013FRq7,5892,5892,1,1972,38,2010-11-01T00:00:00Z,true,2013-11-01T00:00:00Z,true,true,2010,,Meal Serving,Assistance/Support,1,2012-11-13T00:00:00Z,,
003U0000013FSgJ,6232,6232,1,1976,34,2010-12-28T00:00:00Z,true,2013-12-28T00:00:00Z,true,true,2010,5/31/14,RC Program Assistance,Assistance/Support,2,2013-08-06T00:00:00Z,,Lease Violation(s)
003U0000013FSgJ,6232,6232,1,1976,34,2010-12-28T00:00:00Z,true,2013-12-28T00:00:00Z,true,true,2010,5/31/14,RC Program Assistance,Assistance/Support,1,2013-06-04T00:00:00Z,,Lease Violation(s)
003U0000013FQti,6268,6268,1,1945,65,2010-12-01T00:00:00Z,true,2013-12-01T00:00:00Z,true,true,2010,,Flyering/Door Knocking,Assistance/Support,2,2011-04-30T00:00:00Z,,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,5,2012-12-31T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2012-03-30T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2013-01-25T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2013-02-22T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2013-05-31T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Building Dreams Initiative,Meeting/Committee,1,2011-05-20T00:00:00Z,,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Building Dreams Initiative,Meeting/Committee,6,2012-11-30T00:00:00Z,,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Beyond Bricks and Mortar,Meeting/Committee,3,2013-05-03T00:00:00Z,,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,4,2013-12-27T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2012-06-29T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2012-05-31T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Board Meetings,Meeting/Committee,2,2012-04-30T00:00:00Z,Tier 3,
003U0000013FQx7,;rm7574,7573,0,1900,111,2011-02-01T00:00:00Z,true,2014-02-01T00:00:00Z,true,true,2011,,Annual Meeting,Meeting/Committee,2,2012-03-30T00:00:00Z,,
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Resident Planning Committee,Meeting/Committee,2,2013-02-22T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,RC Program Assistance,Assistance/Support,16,2012-02-29T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Painting,Assistance/Support,3.5,2012-03-04T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,RC Program Assistance,Assistance/Support,1,2012-08-21T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,RC Program Assistance,Assistance/Support,1,2012-08-06T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,RC Program Assistance,Assistance/Support,1,2012-08-03T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Resident Planning Committee,Meeting/Committee,1.5,2013-01-04T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Meal Serving,Assistance/Support,7.5,2013-08-10T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Resident Planning Committee,Meeting/Committee,1,2012-05-18T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Resident Planning Committee,Meeting/Committee,1.5,2013-06-21T00:00:00Z,,Lease Violation(s)
003U0000013FROi,7776,7776,1,1962,49,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,1/31/16,Meal Serving,Assistance/Support,5,2012-12-22T00:00:00Z,,Lease Violation(s)
003U0000013FSkW,7797,7797,1,1960,51,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/17,RC Program Assistance,Assistance/Support,0.25,2013-12-16T00:00:00Z,,
003U0000013FRNx,7866,7866,1,1961,50,2011-04-01T00:00:00Z,true,2014-04-01T00:00:00Z,true,true,2011,10/31/15,RC Program Assistance,Assistance/Support,0.5,2011-12-30T00:00:00Z,,Lease Violation(s)
003U0000013FS7e,7879,7879,1,1951,60,2011-04-11T00:00:00Z,true,2014-04-11T00:00:00Z,true,true,2011,10/31/16,RC Program Assistance,Assistance/Support,0.25,2013-03-20T00:00:00Z,,Health and Wellness
003U0000013FS7e,7879,7879,1,1951,60,2011-04-11T00:00:00Z,true,2014-04-11T00:00:00Z,true,true,2011,10/31/16,RC Program Assistance,Assistance/Support,2,2013-06-08T00:00:00Z,,Health and Wellness
003U0000013FS7F,7894,7894,1,1956,55,2011-04-15T00:00:00Z,true,2014-04-15T00:00:00Z,true,true,2011,11/2/15,RC Program Assistance,Assistance/Support,0.25,2012-01-18T00:00:00Z,,Funding Non-Compliance
003U0000013FSkA,7970,7970,1,1955,56,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,,RC Program Assistance,Assistance/Support,0.25,2013-12-12T00:00:00Z,,
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/15,RC Program Assistance,Assistance/Support,4,2013-12-14T00:00:00Z,,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/15,RC Program Assistance,Assistance/Support,3,2013-05-23T00:00:00Z,,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/15,RC Program Assistance,Assistance/Support,3,2013-05-22T00:00:00Z,,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/15,RC Program Assistance,Assistance/Support,3,2013-05-21T00:00:00Z,,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/15,RC Program Assistance,Assistance/Support,2,2013-04-17T00:00:00Z,,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,3/31/15,RC Program Assistance,Assistance/Support,1,2013-07-02T00:00:00Z,,Desired Amenities
003U0000013FRPF,8065,8065,1,1986,25,2011-05-04T00:00:00Z,true,2014-05-04T00:00:00Z,true,true,2011,7/15/14,RC Program Assistance,Assistance/Support,2.25,2012-02-29T00:00:00Z,,Lease Violation(s)
003U0000013FRPF,8065,8065,1,1986,25,2011-05-04T00:00:00Z,true,2014-05-04T00:00:00Z,true,true,2011,7/15/14,RC Program Assistance,Assistance/Support,0.75,2012-07-20T00:00:00Z,,Lease Violation(s)
003U0000013FRPF,8065,8065,1,1986,25,2011-05-04T00:00:00Z,true,2014-05-04T00:00:00Z,true,true,2011,7/15/14,Bulk Mail,Assistance/Support,3.75,2012-10-24T00:00:00Z,,Lease Violation(s)
003U0000013FRPF,8065,8065,1,1986,25,2011-05-04T00:00:00Z,true,2014-05-04T00:00:00Z,true,true,2011,7/15/14,Bulk Mail,Assistance/Support,4,2012-10-25T00:00:00Z,,Lease Violation(s)
003U0000013FSgN,8206,8206,1,1964,47,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,6/30/15,RC Program Assistance,Assistance/Support,0.5,2013-06-04T00:00:00Z,,Death
003U0000013FSgN,8206,8206,1,1964,47,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,6/30/15,RC Program Assistance,Assistance/Support,0.75,2013-08-06T00:00:00Z,,Death
003U0000013FSgN,8206,8206,1,1964,47,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,6/30/15,RC Program Assistance,Assistance/Support,0.75,2013-08-06T00:00:00Z,,Death
003U0000013FSgN,8206,8206,1,1964,47,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,6/30/15,RC Program Assistance,Assistance/Support,0.5,2013-06-04T00:00:00Z,,Death
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-03-13T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-01-30T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-03-06T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.75,2013-01-23T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-02-20T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-01-10T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-03-26T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-03-12T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-03-05T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-02-19T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-04-16T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-02-12T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-04-09T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-02-05T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-01-29T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-01-22T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2014-01-15T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-02-13T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-03-27T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.25,2013-02-06T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-03-20T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-02-06T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-05-22T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-05-15T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-05-14T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-05-08T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-05-07T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-05-01T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-09T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-30T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-17T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-16T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-02T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-10T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-04-03T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-11-20T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-11-06T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-10-30T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-10-23T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-11-16T00:00:00Z,,Relocation
003U0000013FS5H,;rm8729,8405,0,1900,112,2011-07-29T00:00:00Z,true,2014-07-29T00:00:00Z,true,true,2011,10/31/14,Homework Help,Educational,1.5,2013-10-16T00:00:00Z,,Relocation
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,,Help Shelf,Assistance/Support,0.75,2014-05-30T00:00:00Z,,
003U0000013FSGo,8711,8711,1,1994,17,2011-08-15T00:00:00Z,true,2014-08-15T00:00:00Z,true,true,2011,,Resident Speaker's Bureau,Meeting/Committee,1,2013-07-10T00:00:00Z,,
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Resident Planning Committee,Meeting/Committee,1,2013-12-20T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,4,2013-11-25T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,4,2014-03-25T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,RC Program Assistance,Assistance/Support,4,2013-09-17T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,1,2013-05-07T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,1,2013-04-12T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,1.5,2013-04-05T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,3,2013-08-27T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,1,2014-05-06T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,2,2014-05-27T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,4,2014-02-25T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,4,2014-01-28T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,RC Program Assistance,Assistance/Support,0.5,2013-07-17T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,Event Host,Leader/Host,1,2013-07-16T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,RC Program Assistance,Assistance/Support,1,2013-06-25T00:00:00Z,,Desired Amenities
003U0000013FSf5,;8777,8777,1,1984,28,2011-08-16T00:00:00Z,true,2014-08-16T00:00:00Z,true,true,2011,9/13/15,RC Program Assistance,Assistance/Support,1,2013-06-18T00:00:00Z,,Desired Amenities
